Country,Oil,Natural Gas,Coal,Nuclear energy,Hydro electric,Renew- ables,Total
Canada,4.35,4.35,0.37,0.80,3.41,0.68,13.95
Mexico,3.84,3.51,0.26,0.11,0.19,0.54,8.45
US,35.86,31.91,8.20,7.32,2.21,8.78,94.28
Total North America,44.05,39.77,8.83,8.23,5.81,9.99,116.68
Argentina,1.41,1.62,0.05,0.08,0.28,0.24,3.67
Brazil,5.11,1.08,0.57,0.13,4.01,2.97,13.87
Chile,0.83,0.25,0.18,-,0.22,0.33,1.81
Colombia,0.98,0.47,0.16,-,0.56,0.09,2.26
Ecuador,0.58,0.02,^,-,0.24,0.01,0.84
Peru,0.52,0.36,0.03,-,0.27,0.05,1.24
Trinidad & Tobago,0.07,0.52,-,-,-,^,0.59
Venezuela,0.84,1.07,0.01,-,0.61,^,2.53
Other S. & Cent. America,2.68,0.43,0.18,-,0.82,0.36,4.46
Total S. & Cent. America,13.01,5.82,1.16,0.21,7.01,4.06,31.28
Austria,0.49,0.25,0.10,-,0.36,0.19,1.39
Belgium,1.13,0.49,0.10,0.30,^,0.29,2.31
Czech Republic,0.42,0.24,0.47,0.27,0.02,0.10,1.52
Finland,0.33,0.04,0.09,0.31,0.14,0.29,1.20
France,2.76,1.22,0.18,3.03,0.52,0.95,8.66
Germany,4.01,2.72,1.83,0.06,0.18,2.60,11.41
Greece,0.62,0.19,0.05,-,0.04,0.20,1.10
Hungary,0.34,0.29,0.04,0.14,^,0.10,0.91
Italy,2.47,2.11,0.22,-,0.36,0.78,5.95
Netherlands,1.70,0.93,0.16,0.04,^,0.61,3.44
Norway,0.38,0.14,0.03,-,1.27,0.16,1.99
Poland,1.41,0.70,1.51,-,0.02,0.48,4.12
Portugal,0.45,0.16,^,-,0.11,0.23,0.95
Romania,0.46,0.33,0.11,0.10,0.17,0.11,1.28
Spain,2.57,1.05,0.12,0.51,0.24,1.17,5.66
Sweden,0.47,0.03,0.07,0.43,0.62,0.54,2.15
Switzerland,0.39,0.10,^,0.21,0.35,0.09,1.13
Turkey,2.30,1.74,1.65,-,0.60,0.71,7.00
Ukraine,0.39,0.67,0.49,0.47,0.12,0.08,2.22
United Kingdom,2.69,2.29,0.18,0.37,0.05,1.38,6.95
Other Europe,2.57,0.97,1.02,0.36,0.79,0.81,6.51
Total Europe,28.33,16.68,8.39,6.60,5.97,11.86,77.85
Azerbaijan,0.26,0.54,^,-,0.02,^,0.82
Belarus,0.30,0.60,0.04,0.11,^,0.01,1.07
Kazakhstan,0.69,0.77,1.39,-,0.08,0.05,2.98
Russian Federation,7.21,16.32,3.83,1.95,1.88,0.10,31.29
Turkmenistan,0.28,1.32,-,-,^,^,1.60
Uzbekistan,0.22,1.68,0.14,-,0.07,^,2.10
Other CIS,0.20,0.22,0.09,0.02,0.32,0.01,0.86
Total CIS,9.16,21.46,5.49,2.08,2.37,0.17,40.72
Iran,3.50,8.84,0.08,0.06,0.21,0.02,12.71
Iraq,1.80,0.67,-,-,0.03,^,2.51
Israel,0.44,0.45,0.14,-,^,0.08,1.11
Kuwait,0.76,0.81,0.01,-,-,^,1.58
Oman,0.47,1.06,0.01,-,-,0.01,1.55
Qatar,0.61,1.59,^,-,-,0.01,2.22
Saudi Arabia,7.43,4.11,^,-,-,0.05,11.60
United Arab Emirates,2.20,2.41,0.10,0.29,-,0.13,5.13
Other Middle East,1.06,0.85,0.04,-,0.01,0.07,2.05
Total Middle East,18.28,20.80,0.38,0.35,0.26,0.39,40.46
Algeria,0.86,1.67,0.01,-,^,0.01,2.54
Egypt,1.49,2.16,0.05,-,0.13,0.10,3.94
Morocco,0.57,0.03,0.29,-,^,0.08,0.98
South Africa,1.09,0.17,3.33,0.08,0.02,0.18,4.85
Other Africa,4.48,2.13,0.41,-,1.36,0.17,8.56
Total Africa,8.49,6.16,4.08,0.08,1.51,0.54,20.87
Australia,2.17,1.44,1.51,-,0.14,0.76,6.02
Bangladesh,0.52,1.01,0.28,-,0.01,0.01,1.83
China,32.73,14.57,91.94,3.90,11.46,16.13,170.74
China Hong Kong SAR,0.57,0.17,0.15,-,-,0.01,0.90
India,10.57,2.25,21.98,0.43,1.39,2.38,39.02
Indonesia,3.10,1.64,4.32,-,0.23,0.83,10.11
Japan,6.65,3.33,4.54,0.70,0.70,1.49,17.40
Malaysia,1.79,1.66,0.98,-,0.29,0.08,4.81
New Zealand,0.32,0.14,0.04,-,0.25,0.12,0.86
Pakistan,0.78,1.36,0.62,0.20,0.35,0.06,3.37
Philippines,0.93,0.12,0.88,-,0.10,0.17,2.19
Singapore,2.99,0.44,0.01,-,-,0.02,3.47
South Korea,5.36,2.16,2.69,1.62,0.03,0.56,12.43
Sri Lanka,0.22,-,0.06,-,0.05,0.03,0.36
Taiwan,1.63,1.01,1.49,0.16,0.04,0.20,4.53
Thailand,2.31,1.70,0.60,-,0.06,0.33,5.01
Vietnam,1.20,0.26,2.32,-,0.76,0.36,4.89
Other Asia Pacific,1.26,0.41,1.27,-,0.85,0.04,3.83
Total Asia Pacific,75.10,33.67,135.70,7.01,16.72,23.57,291.77